file,classes
modernismo-brasileiro-ds.html,layout nav nav-brand sub palette-picker label swatch nav-list parabola eyebrow reveal manifesto credits ds section-head section-num section-title section-lead principles principle num sub-head lineages antimodels palette-block desc swatch-grid swatch-card chip info role hex token type-specimen meta display-show body-show type-scale row size sample variable-axes axis-card axis-name axis-sample axis-desc space-scale space-row val bar grid-demo tiles-grid tile-card tile-num tile-preview tile-cell tile-grid tile-ref icons-grid icon-cell icon-name glyphs-grid glyph-cell shapes-grid shape-cell shape-desc shape-label emoji-section emoji-list unicode-geo font-options font-opt opt-pick opt-name opt-desc component-block comp-preview btn btn-primary btn-secondary btn-tertiary code copy-btn com sel prop comp-info comp-meta card-modernist card-bulcao card-body card-title card-desc tag attr str input-label input-modernist badge badge-volpi badge-outline header-pilotis brand divisor-burle modal-demo modal-overlay modal-content application app-shapes app-hero app-eyebrow app-lead app-columns app-column app-footer tokens-code end
scratch/design.html,layout nav nav-brand sub palette-picker label swatch nav-list parabola eyebrow reveal manifesto credits ds section-head section-num section-title section-lead principles principle num sub-head lineages antimodels palette-block desc swatch-grid swatch-card chip info role hex token type-specimen meta display-show body-show type-scale row size sample variable-axes axis-card axis-name axis-sample axis-desc space-scale space-row val bar grid-demo tiles-grid tile-card tile-num tile-preview tile-cell tile-grid tile-ref icons-grid icon-cell icon-name glyphs-grid glyph-cell shapes-grid shape-cell shape-desc shape-label emoji-section emoji-list unicode-geo font-options font-opt opt-pick opt-name opt-desc component-block comp-preview btn btn-primary btn-secondary btn-tertiary code copy-btn com sel prop comp-info comp-meta card-modernist card-bulcao card-body card-title card-desc tag attr str input-label input-modernist badge badge-volpi badge-outline header-pilotis brand divisor-burle modal-demo modal-overlay modal-content application app-shapes app-hero app-eyebrow app-lead app-columns app-column app-footer tokens-code end
web/src/components/AgencyDetailView.svelte,btn btn-outline rollup-grid rollup-card muted supplier-list supplier-rank supplier-name supplier-count monthly-chart month-label month-bar month-count recent-list recent-header
web/src/components/AlertBanner.svelte,alert level- alert-message
web/src/components/AtasView.svelte,atas container hub-header type-badge meta-row search-form sr-only btn btn-primary skeleton-wrap skeleton skeleton-bid atas-list ata-card ata-header agency cnpj objeto ata-footer vigencia valor
web/src/components/BuscaView.svelte,busca container hub-header type-badge meta-row search-form search-main sr-only btn btn-primary advanced-filters advanced-grid skeleton-wrap skeleton skeleton-bid suggestion-row suggestion-link filters filter export-actions btn-secondary copy-status aggregates agg-cell busca-results result-card result-head agency modality objeto result-foot date valor
web/src/components/CatmatSearch.svelte,catmat-search catmat-error catmat-code catmat-type catmat-desc
web/src/components/CitationBlock.svelte,citation btn btn-outline citation-meta sep ia-link bibtex btn-sm
web/src/components/CityDetailView.svelte,stats-row recent-list
web/src/components/CityHero.svelte,city-hero container hero-grid hero-copy kicker hero-city city-token hero-lead hero-search btn btn-primary btn-search hero-actions btn-lg btn-secondary geo-btn spinner btn-outline hero-error hero-source picker-wrap
web/src/components/CityNavLink.svelte,city-nav-link
web/src/components/CityPicker.svelte,city-picker active-line kicker link field sr-only input-modernist geo-btn status warn listbox opt-nome opt-uf opt-ibge compact active
web/src/components/CityWowStrip.svelte,wow-strip container wow-grid wow-tile wow-tile--loading skeleton skel-num skel-label wow-num wow-label wow-foot wow-num--text wow-tile--meta wow-num--em wow-num--small wow-cta wow-empty
web/src/components/CompararView.svelte,comparar container hub-header type-badge meta-row search-form btn btn-primary skeleton-wrap skeleton skeleton-bid spend-summary peers-section peer-list peer-card
web/src/components/ContractCard.svelte,bid-link-card bid-header bid-id bid-date bid-obj bid-footer buyer valor
web/src/components/ContractDetailView.svelte,meta-item snapshot-badge summary-wrap plain-summary btn btn-outline grid-details card data-list inline-link item-list item-row item-header item-seq item-desc item-meta item-valor muted meta-card
web/src/components/CoverageReport.svelte,coverage banner banner--info banner--warn skeleton-row skeleton skel-num skel-line headline big of big--ref label pct esferas absences cnpj nome natureza footnote pct--low low
web/src/components/Dashboard.svelte,retry-row btn btn-outline dashboard-grid card skeleton-card skeleton skeleton-label skeleton-value
web/src/components/DevExamplesView.svelte,dev-examples
