código,descrição
1,Menor preço
2,Maior desconto
4,Técnica e preço
5,Maior lance
6,Maior retorno econômico
7,Não se aplica
8,Melhor técnica
9,Conteúdo artístico
1,Divulgada no PNCP
2,Revogada
3,Anulada
4,Suspensa
1,Em Andamento
2,Homologado
3,Anulado/Revogado/Cancelado
4,Deserto
5,Fracassado
1,Participação exclusiva para ME/EPP
2,Subcontratação para ME/EPP
3,Cota reservada para ME/EPP
4,Sem benefício
5,Não se aplica
1,Informado
2,Cancelado
1,Contrato (termo inicial)
2,Comodato
3,Arrendamento
4,Concessão
5,Termo de Adesão
6,Convênio
7,Empenho
8,Outros
9,Termo de Execução Descentralizada (TED)
10,Acordo de Cooperação Técnica (ACT)
11,Termo de Compromisso
12,Carta Contrato
1,Termo de Rescisão
2,Termo Aditivo
3,Termo de Apostilamento
1,Cessão
2,Compras
3,Informática (TIC)
4,Internacional
5,Locação Imóveis
6,Mão de Obra
7,Obras
8,Serviços
9,Serviços de Engenharia
10,Serviços de Saúde
11,Alienação de bens móveis/imóveis
1,Aviso de Contratação Direta
2,Edital
3,Minuta do Contrato
4,Termo de Referência
5,Anteprojeto
6,Projeto Básico
7,Estudo Técnico Preliminar
8,Projeto Executivo
9,Mapa de Riscos
10,DFD
11,Ata de Registro de Preço
12,Contrato
13,Termo de Rescisão
14,Termo Aditivo
15,Termo de Apostilamento
17,Nota de Empenho
18,Relatório Final de Contrato
1,ME
2,EPP
3,Demais
4,Não se aplica
5,Não informado
1,"Lei 14.133/2021, Art. 28, I"
2,"Lei 14.133/2021, Art. 28, II"
3,"Lei 14.133/2021, Art. 28, III"
4,"Lei 14.133/2021, Art. 28, IV"
5,"Lei 14.133/2021, Art. 28, V"
6,"Lei 14.133/2021, Art. 74, I"
7,"Lei 14.133/2021, Art. 74, II"
8,"Lei 14.133/2021, Art. 74, III, a"
9,"Lei 14.133/2021, Art. 74, III, b"
10,"Lei 14.133/2021, Art. 74, III, c"
11,"Lei 14.133/2021, Art. 74, III, d"
12,"Lei 14.133/2021, Art. 74, III, e"
13,"Lei 14.133/2021, Art. 74, III, f"
14,"Lei 14.133/2021, Art. 74, III, g"
15,"Lei 14.133/2021, Art. 74, III, h"
16,"Lei 14.133/2021, Art. 74, IV"
17,"Lei 14.133/2021, Art. 74, V"
18,"Lei 14.133/2021, Art. 75, I"
19,"Lei 14.133/2021, Art. 75, II"
20,"Lei 14.133/2021, Art. 75, III, a"
21,"Lei 14.133/2021, Art. 75, III, b"
22,"Lei 14.133/2021, Art. 75, IV, a"
23,"Lei 14.133/2021, Art. 75, IV, b"
24,"Lei 14.133/2021, Art. 75, IV, c"
25,"Lei 14.133/2021, Art. 75, IV, d"
26,"Lei 14.133/2021, Art. 75, IV, e"
27,"Lei 14.133/2021, Art. 75, IV, f"
28,"Lei 14.133/2021, Art. 75, IV, g"
1,Material
2,Serviço
3,Obras
4,Serviços de Engenharia
5,Soluções de TIC
6,Locação de Imóveis
7,Alienação/Concessão/Permissão
8,Obras e Serviços de Engenharia
